Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Label
XLB,Materials Select Sector SPDR ETF,Materials,5167.45,0.1911,6161905,71.58,0.0063,Materials
VAW,Vanguard Materials ETF,Materials,2218.44,0.1834,93462,155.52,0.0054,Materials
XLI,Industrial Select Sector SPDR Fund,Industrials,16066.5,0.1021,11081286,88,0.0001,Industrials
VIS,Vanguard Industrial ETF,Industrials,3821.53,0.1196,132475,169.41,0.0006,Industrials
IYJ,iShares U.S. Industrials ETF,Industrials,1245.05,0.1687,100177,96.82,0.0034,Industrials
XLV,Health Care Select Sector SPDR Fund,Healthcare,25056.6,0.1132,8449672,111.47,0.0029,HealthcareG
VHT,Vanguard Healthcare ETF,Healthcare,13046.3,0.1746,239652,222.16,0.0014,HealthcareG
IYH,iShares U.S. Healthcare ETF,Healthcare,2471.31,0.1407,35474,242.74,0.001,HealthcareG
FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,2426.46,0.1727,209200,57.33,0.0024,HealthcareG
IXJ,iShares Global Healthcare ETF,Healthcare,2416.86,0.1056,128574,74.97,0.0016,HealthcareG
FXH,First Trust Health Care AlphaDEX Fund,Healthcare,1455.48,0.2797,68011,107.75,-0.0012,HealthcareG
XLF,Financial Select Sector SPDR Fund,Financials,24145.4,-0.0351,56606116,28.95,0.0014,Financials
VFH,Vanguard Financials ETF,Financials,7161.53,-0.0354,611762,71.68,0.0004,Financials
IYF,iShares U.S. Financials ETF,Financials,1427.24,-0.0328,273195,65.41,0.0043,Financials
EUFN,iShares MSCI Europe Financials ETF,Financials,1035.05,-0.084,1626717,17.57,0.0029,Financials
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Staples,13335.7,0.0891,8631400,66.72,0.005,Staples
VDC,Vanguard Consumer Staples ETF,Consumer Staples,5651.79,0.0976,103542,172.2,0.0043,Staples
IEV,iShares Europe ETF,Consumer Staples,1593.6,0.0372,234635,47.76,0.0019,Staples
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,18176.7,0.2729,3193858,157.88,0.0021,ConsumerD
VCR,Vanguard Consumer Discretionary ETF,Consumer Discretionary,4688.96,0.4688,103763,272.44,0.0019,ConsumerD
FXD,First Trust Consumer Discretionary AlphaDEX Fund,Consumer Discretionary,1333.89,0.1337,92426,51.11,-0.0004,ConsumerD
